cur_brand,first_buy_brand,babyage,ZONE,breastfeed,enroll_type2,enroll_age,open_rate0,click_rate0,redem_rate0
0,0,60,1,0,0,-66,0.166666667,0.0,0.0
1,1,270,1,1,1,-388,0.020833333,0.0,0.0
1,1,180,1,1,1,-26,0.548387097,0.35483871,0.0
0,0,360,0,1,1,-180,0.0,0.0,0.0
1,1,0,1,0,1,-233,0.264705882,0.007352941,1.0
0,0,150,1,0,1,-130,0.072463768,0.014492754,0.142857143
1,1,60,0,1,1,-242,0.144067797,0.033898305,1.0
1,1,300,1,0,1,-159,0.0,0.0,0.0
0,1,90,1,1,1,-203,0.011111111,0.0,0.0
1,1,60,0,0,1,-33,0.0,0.0,0.0
1,1,30,1,0,1,-197,0.0,0.0,0.0
0,0,210,1,0,1,-25,0.0,0.0,0.0
0,0,210,0,0,1,-201,0.0,0.0,0.0
0,0,30,0,1,0,-166,0.016666667,0.0,0.0
1,1,90,1,1,1,-91,0.302325581,0.093023256,0.333333333
1,1,210,0,1,1,22,0.036144578,0.0,0.0
0,1,270,0,0,1,-94,0.009009009,0.0,0.0
1,1,300,1,0,1,98,0.03125,0.010416667,1.0
0,0,90,1,1,1,20,0.0,0.0,0.0
0,0,150,1,0,1,-126,0.0,0.0,0.0
1,1,60,1,1,1,35,0.148148148,0.111111111,0.0
1,1,90,1,0,0,-80,0.272727273,0.0,0.111111111
0,0,90,1,1,1,-1016,0.098684211,0.013157895,0.0
